codi,x_etrs89,y_etrs89,latitud,longitud,cat_nom_ci,Mean_LST,LST_zone,LST_zone_label
0215073AR,430843.63,4585439.207,41.4175324,2.1724632,Styphnolobium japonicum,29.70265146,3,Warm
0215075AR,431141.676,4585452.7,41.4176795,2.1760278,Styphnolobium japonicum,28.91786286,3,Warm
0215079AR,430925.377,4585167.615,41.4150933,2.1734723,Styphnolobium japonicum,31.34593021,4,Hottest
0215091AR,431110.288,4585270.805,41.4160386,2.1756729,Styphnolobium japonicum,29.23310053,3,Warm
0215092AR,430587.249,4585208.315,41.4154308,2.1694221,Styphnolobium japonicum,29.10945137,3,Warm
0215094AR,431355.777,4585974.812,41.4224003,2.1785302,Styphnolobium japonicum,28.86657511,2,Cool
0215102AR,431174.843,4585346.774,41.4167283,2.1764367,Styphnolobium japonicum,28.93225201,3,Warm
0215391AR,429056.08600000007,4586117.572,41.4234863,2.1509958,Styphnolobium japonicum,28.04549258,2,Cool
0215395AR,429086.781,4586204.102,41.4242684,2.1513529,Styphnolobium japonicum,28.17507135,2,Cool
0215422AR,429060.623,4586147.947,41.4237603,2.1510465,Styphnolobium japonicum,28.09256506,2,Cool
0215427AR,429043.589,4585989.62,41.4223328,2.1508613,Styphnolobium japonicum,26.66797067,1,Coolest
0215433AR,429056.975,4586130.072,41.423599,2.151005,Styphnolobium japonicum,28.06182077,2,Cool
0215434AR,428879.425,4586181.593,41.4240473,2.1488743,Styphnolobium japonicum,26.07148108,1,Coolest
0215438AR,429062.533,4586152.956,41.4238056,2.1510688,Styphnolobium japonicum,28.10319806,2,Cool
0215446AR,429147.7579999999,4586296.956,41.4251101,2.1520717,Styphnolobium japonicum,28.1227177,2,Cool
0215447AR,428968.546,4586270.667,41.4248575,2.1499303,Styphnolobium japonicum,27.26347664,1,Coolest
0215455AR,428977.942,4586277.94,41.4249238,2.1500419,Styphnolobium japonicum,27.29740956,1,Coolest
0215459AR,429054.102,4586065.442,41.4230167,2.1509782,Styphnolobium japonicum,27.64726044,1,Coolest
0215462AR,428988.436,4585893.324,41.4214607,2.1502126,Styphnolobium japonicum,24.7596541,1,Coolest
0215467AR,429118.593,4586314.669,41.425267,2.1517206,Styphnolobium japonicum,27.91138005,2,Cool
0215468AR,429117.559,4586246.579,41.4246537,2.1517162,Styphnolobium japonicum,28.17447833,2,Cool
0215471AR,429085.278,4586304.917,41.4251763,2.1513231,Styphnolobium japonicum,27.76840704,1,Coolest
0215475AR,429048.128,4586003.314,41.4224566,2.150914,Styphnolobium japonicum,26.80217662,1,Coolest
0215476AR,429108.929,4586237.232,41.4245687,2.1516141,Styphnolobium japonicum,28.16720059,2,Cool
0215481AR,428964.114,4586266.753,41.4248218,2.1498777,Styphnolobium japonicum,27.22645207,1,Coolest
0215490AR,429147.698,4586273.195,41.4248961,2.1520738,Styphnolobium japonicum,28.22476904,2,Cool
0215492AR,429021.62,4586290.994,41.4250452,2.150563,Styphnolobium japonicum,27.4568164,1,Coolest
0215498AR,428984.947,4585888.743,41.4214191,2.1501714,Styphnolobium japonicum,24.71790111,1,Coolest
0215502AR,429009.709,4586285.598,41.4249956,2.1504211,Styphnolobium japonicum,27.40738713,1,Coolest
0215504AR,428823.646,4586130.47,41.423582,2.1482129,Styphnolobium japonicum,25.06754881,1,Coolest
0215507AR,429112.977,4586316.18,41.4252801,2.1516533,Styphnolobium japonicum,27.88314739,2,Cool
0215526AR,429003.094,4586300.766,41.4251316,2.1503402,Styphnolobium japonicum,27.49337942,1,Coolest
0215527AR,428985.92,4586284.007,41.4249792,2.1501366,Styphnolobium japonicum,27.3553391,1,Coolest
0215536AR,429046.321,4586299.356,41.4251227,2.1508576,Styphnolobium japonicum,27.54209355,1,Coolest
0215541AR,428486.753,4585893.652,41.4214191,2.1442096,Styphnolobium japonicum,26.74291023,1,Coolest
0215553AR,428865.664,4586167.757,41.4239215,2.1487113,Styphnolobium japonicum,25.88733123,1,Coolest
0215580AR,429046.682,4585998.639,41.4224143,2.1508972,Styphnolobium japonicum,26.88005491,1,Coolest
0215584AR,428833.128,4586136.932,41.423641,2.1483256,Styphnolobium japonicum,25.20291508,1,Coolest
0215588AR,429079.91399999993,4586191.158,41.4241512,2.1512723,Styphnolobium japonicum,28.15717157,2,Cool
0215593AR,428998.927,4586292.847,41.4250599,2.1502912,Styphnolobium japonicum,27.44258113,1,Coolest
0215612AR,429057.632,4586135.894,41.4236515,2.1510121,Styphnolobium japonicum,28.06354396,2,Cool
0215613AR,429093.824,4586304.881,41.4251767,2.1514254,Styphnolobium japonicum,27.80852412,1,Coolest
0215633AR,429132.258,4586300.726,41.4251427,2.1518858,Styphnolobium japonicum,28.02302411,2,Cool
0215645AR,429054.312,4586078.593,41.4231351,2.1509791,Styphnolobium japonicum,27.85905254,2,Cool
0215646AR,429113.253,4586242.033,41.4246124,2.1516652,Styphnolobium japonicum,28.16700558,2,Cool
0215688AR,429054.3,4586072.035,41.4230761,2.1509798,Styphnolobium japonicum,27.74480853,1,Coolest
0215709AR,429040.98,4585983.199,41.4222748,2.1508308,Styphnolobium japonicum,26.52729455,1,Coolest
