codi,LST_zone,SOS,POS,EOS,GSL
0065191AR,1,76.81340670335167,153.25662831415707,316.13806903451723,239.32466233116554
0065192AR,1,38.12906453226613,158.4392196098049,279.3046523261631,241.17558779389697
0065201AR,1,62.006003001500744,201.0105052526263,277.4537268634317,215.44772386193097
0065211AR,1,78.10905452726362,158.4392196098049,298.92446223111557,220.81540770385195
0065217AR,1,48.86443221610805,154.18209104552275,267.64382191095547,218.77938969484742
0065226AR,1,70.70535267633817,180.8354177088544,306.51325662831414,235.80790395197596
0065233AR,1,39.979989994997496,144.7423711855928,298.18409204602295,258.2041020510255
0065241AR,1,73.29664832416208,131.78589294647324,274.1220610305152,200.82541270635315
0065265AR,1,69.22461230615308,121.79089544772384,253.2066033016508,183.9819909954977
0065280AR,1,69.4097048524262,158.62431215607802,299.2946473236618,229.8849424712356
0065283AR,1,81.62581290645322,148.07403701850924,327.6138069034517,245.98799399699845
0065287AR,1,44.23711855927964,150.11005502751374,304.10705352676337,259.86993496748374
0065312AR,1,69.03951975987994,141.59579789894948,271.71585792896445,202.67633816908452
0065321AR,1,74.40720360180089,125.67783891945973,255.42771385692845,181.02051025512756
0065322AR,1,59.78489244622311,148.81440720360177,299.479739869935,239.69484742371185
0065346AR,1,66.81840920460229,159.73486743371686,295.5927963981991,228.7743871935968
0065360AR,1,65.15257628814408,146.408204102051,307.8089044522261,242.65632816408203
0065374AR,1,61.2656328164082,144.3721860930465,292.6313156578289,231.36568284142072
0065377AR,1,75.51775887943971,146.408204102051,295.0375187593797,219.51975987993995
0065383AR,1,63.67183591795897,168.61930965482742,282.6363181590795,218.96448224112055
0065403AR,1,58.489244622311155,141.04052026013005,258.5742871435718,200.08504252126062
0065409AR,1,73.48174087043522,179.7248624312156,297.2586293146573,223.7768884442221
0065412AR,1,59.969984992496244,230.07003501750873,310.40020010005003,250.43021510755378
0065419AR,1,71.26063031515757,169.17458729364682,314.10205102551276,242.84142071035518
0065423AR,1,72.55627813906953,161.40070035017507,287.0785392696348,214.52226113056525
0065442AR,1,78.84942471235617,127.34367183591795,246.91345672836417,168.064032016008
0065445AR,1,54.602301150575286,156.77338669334665,287.0785392696348,232.47623811905953
0065460AR,1,38.31415707853927,152.8864432216108,285.59779889944974,247.28364182091047
0065461AR,1,63.11655827913957,173.2466233116558,309.65982991495747,246.54327163581792
0065478AR,1,69.22461230615308,212.67133566783392,311.695847923962,242.47123561780893
0065480AR,1,60.155077538769376,218.96448224112055,306.14307153576783,245.98799399699845
0065481AR,1,16.103051525762883,152.70135067533766,283.19159579789897,267.08854427213606
0065488AR,1,56.083041520760375,241.54577288644322,303.3666833416708,247.28364182091042
0065489AR,1,67.37368684342171,185.2776388194097,288.5592796398199,221.18559279639823
0065492AR,1,76.25812906453226,157.8839419709855,292.44622311155575,216.1880940470235
