codi,x_etrs89,y_etrs89,latitud,longitud,cat_nom_ci,Mean_LST,LST_zone,LST_zone_label
0236103AR,434263.843,4585678.024,41.4199705,2.2133603,Celtis australis,29.77963267,3,Warm
0236110AR,434736.466,4585100.885,41.4148108,2.2190777,Celtis australis,28.73483991,2,Cool
0236142AR,434221.389,4585602.139,41.4192835,2.2128605,Celtis australis,29.93846936,3,Warm
0236146AR,434291.648,4585445.089,41.4178747,2.2137183,Celtis australis,28.81883925,2,Cool
0236149AR,434513.077,4585299.827,41.4165845,2.2163834,Celtis australis,29.43887179,3,Warm
0236150AR,434218.066,4585137.919,41.4151021,2.2128713,Celtis australis,27.97926653,2,Cool
0236157AR,434125.348,4585486.38,41.418233,2.211724,Celtis australis,28.46774529,2,Cool
0236164AR,434179.869,4585579.68,41.4190778,2.2123662,Celtis australis,29.84846865,3,Warm
0236182AR,434156.469,4585557.37,41.418875,2.2120886,Celtis australis,29.55851471,3,Warm
0236205AR,434210.249,4585590.999,41.4191823,2.2127285,Celtis australis,29.94101999,3,Warm
0236226AR,434594.74499999994,4585000.266,41.4138931,2.217393,Celtis australis,27.982446,2,Cool
0236233AR,434602.32,4585197.572,41.4156708,2.2174623,Celtis australis,29.0982853,3,Warm
0236236AR,434250.848,4585409.969,41.4175551,2.2132339,Celtis australis,28.07533882,2,Cool
0236246AR,434349.465,4584998.677,41.4138588,2.2144585,Celtis australis,28.52975902,2,Cool
0236252AR,434292.927,4585275.408,41.4163466,2.213752,Celtis australis,27.58396916,1,Coolest
0236267AR,434662.382,4585255.943,41.4162014,2.2181746,Celtis australis,29.02367342,3,Warm
0236274AR,434727.976,4585066.565,41.414501,2.2189799,Celtis australis,28.68935158,2,Cool
0236276AR,434058.468,4585474.132,41.4181172,2.2109251,Celtis australis,28.10335033,2,Cool
0236299AR,434219.039,4585583.619,41.4191165,2.2128344,Celtis australis,29.87977598,3,Warm
0236310AR,434758.836,4585079.124,41.4146167,2.2193477,Celtis australis,28.47578336,2,Cool
0236311AR,433941.797,4585319.391,41.4167139,2.209546,Celtis australis,29.98313449,3,Warm
0236313AR,434459.804,4584800.346,41.4120815,2.2158001,Celtis australis,27.5953286,1,Coolest
0236317AR,434714.876,4585086.625,41.4146806,2.218821,Celtis australis,28.88240813,3,Warm
0236318AR,434325.979,4585427.962,41.4177233,2.2141309,Celtis australis,28.88085595,3,Warm
0236322AR,434444.008,4585458.243,41.4180057,2.2155399,Celtis australis,29.35523345,3,Warm
0236325AR,434094.899,4585614.13,41.4193811,2.2113457,Celtis australis,29.37403236,3,Warm
0236332AR,434406.087,4585211.927,41.4157841,2.2151128,Celtis australis,28.29858888,2,Cool
0236341AR,434181.6990000001,4585581.81,41.4190972,2.2123878,Celtis australis,29.87488736,3,Warm
0236343AR,434331.084,4585411.357,41.4175742,2.2141938,Celtis australis,28.80477004,2,Cool
0236351AR,434231.174,4584888.838,41.4128598,2.2130552,Celtis australis,31.17798664,4,Hottest
0236369AR,434321.959,4585557.798,41.4188924,2.2140687,Celtis australis,29.5231819,3,Warm
0236372AR,434316.309,4585524.547,41.4185924,2.2140047,Celtis australis,29.44649358,3,Warm
0236376AR,434623.675,4585007.269,41.4139585,2.2177384,Celtis australis,28.09349137,2,Cool
0236387AR,434406.927,4585203.837,41.4157113,2.2151238,Celtis australis,28.233945,2,Cool
0236395AR,434070.55,4585688.94,41.4200529,2.2110462,Celtis australis,28.43104601,2,Cool
0236410AR,434774.166,4585064.334,41.4144847,2.2195327,Celtis australis,28.22141571,2,Cool
0236411AR,434096.479,4585608.82,41.4193334,2.2113652,Celtis australis,29.352523,3,Warm
0236412AR,434492.255,4584925.486,41.4132112,2.2161748,Celtis australis,27.73265373,1,Coolest
0236414AR,434307.877,4585290.548,41.4164842,2.2139292,Celtis australis,27.73902618,1,Coolest
0236418AR,434262.364,4585507.261,41.4184323,2.2133611,Celtis australis,29.31437743,3,Warm
0236421AR,434277.997,4585275.408,41.4163454,2.2135734,Celtis australis,27.48197026,1,Coolest
0236446AR,434059.799,4585697.843,41.4201322,2.2109166,Celtis australis,28.10986764,2,Cool
0236448AR,434032.618,4585223.778,41.4158602,2.2106431,Celtis australis,29.75141404,3,Warm
0236451AR,434188.598,4585429.029,41.4177217,2.212487,Celtis australis,27.99163796,2,Cool
0236452AR,434382.092,4585230.092,41.4159457,2.2148238,Celtis australis,28.26285441,2,Cool
0236456AR,434202.326,4585192.039,41.4155883,2.2126771,Celtis australis,27.77787142,1,Coolest
0236464AR,434414.187,4585211.147,41.4157777,2.2152098,Celtis australis,28.35307711,2,Cool
0236476AR,434153.613,4584806.579,41.4121126,2.2121362,Celtis australis,30.75052068,4,Hottest
0236482AR,434204.371,4584863.951,41.4126335,2.2127372,Celtis australis,31.42139438,4,Hottest
0236496AR,434167.251,4585548.967,41.4188002,2.2122185,Celtis australis,29.53150205,3,Warm
0236497AR,434227.759,4585592.909,41.4192009,2.2129378,Celtis australis,29.90366413,3,Warm
0236508AR,434138.468,4585481.25,41.4181879,2.2118815,Celtis australis,28.48098176,2,Cool
0236510AR,434075.669,4585564.03,41.4189283,2.2111211,Celtis australis,28.8900194,3,Warm
0236545AR,434478.817,4585285.767,41.4164551,2.215975,Celtis australis,29.36838391,3,Warm
0236549AR,434231.195,4584858.667,41.4125881,2.2130587,Celtis australis,31.35534309,4,Hottest
0236553AR,434358.291,4585546.063,41.4187896,2.2145047,Celtis australis,29.52103712,3,Warm
0236569AR,434178.976,4585177.629,41.4154566,2.2123992,Celtis australis,28.00042364,2,Cool
0236576AR,434162.226,4585160.899,41.4153045,2.2122007,Celtis australis,28.24118672,2,Cool
0236588AR,434179.148,4585429.739,41.4177273,2.2123739,Celtis australis,27.96152902,2,Cool
0236594AR,434433.858,4585446.917,41.4179028,2.2154197,Celtis australis,29.33856683,3,Warm
0236600AR,434317.679,4585562.269,41.4189323,2.214017,Celtis australis,29.52953904,3,Warm
0236601AR,434353.455,4585003.077,41.4138987,2.2145058,Celtis australis,28.43792859,2,Cool
0236611AR,434550.815,4585052.35,41.4143586,2.2168617,Celtis australis,28.0393418,2,Cool
0236619AR,434410.297,4585207.487,41.4157444,2.2151637,Celtis australis,28.31232515,2,Cool
0236630AR,434158.283,4584817.289,41.4122094,2.2121909,Celtis australis,30.94941521,4,Hottest
0236633AR,434739.468,4585101.188,41.4148138,2.2191136,Celtis australis,28.70331158,2,Cool
0236639AR,434210.25,4585690.37,41.4200773,2.2127177,Celtis australis,29.94998961,3,Warm
0236641AR,434368.765,4585008.947,41.4139528,2.2146883,Celtis australis,28.23869855,2,Cool
0236642AR,434038.856,4585224.187,41.4158644,2.2107177,Celtis australis,29.67074802,3,Warm
0236645AR,434273.82,4585271.746,41.416312,2.2135238,Celtis australis,27.4640033,1,Coolest
0236648AR,434187.028,4585406.389,41.4175176,2.2124707,Celtis australis,27.72104452,1,Coolest
0236655AR,434028.615,4585219.258,41.4158192,2.2105957,Celtis australis,29.83936191,3,Warm
0236660AR,434505.098,4585311.917,41.4166927,2.2162867,Celtis australis,29.43536074,3,Warm
0236661AR,434750.156,4585038.524,41.4142503,2.2192483,Celtis australis,28.28308484,2,Cool
0236696AR,434248.936,4585605.385,41.419315,2.2131898,Celtis australis,29.84584438,3,Warm
