codi,LST_zone,SOS,POS,EOS,GSL
0023438AR,4,44.14095079232694,101.6763969974979,365.0,320.8590492076731
0023439AR,1,40.79232693911593,105.02502085070891,308.98665554628855,268.1943286071726
0023448AR,4,54.79566305254378,130.90075062552125,339.42869057547955,284.6330275229358
0023450AR,4,50.83819849874895,96.80567139282735,294.070058381985,243.23185988323604
0023454AR,4,55.70892410341951,93.45704753961634,292.8523769808173,237.1434528773978
0023456AR,4,57.53544620517097,90.10842368640533,322.9899916597164,265.45454545454544
0023469AR,4,59.361968306922435,91.63052543786488,365.0,305.63803169307755
0023486AR,4,56.013344453711426,126.03002502085072,304.7247706422018,248.71142618849038
0023488AR,1,14.003336113427856,122.07256046705588,280.67556296914097,266.6722268557131
0023499AR,4,55.10008340283569,142.46872393661383,229.83736447039198,174.7372810675563
0023504AR,1,32.26855713094245,115.07089241034194,284.93744787322765,252.6688907422852
0023508AR,4,44.14095079232694,143.38198498748957,278.54462051709754,234.4036697247706
0023510AR,4,55.40450375312761,88.28190158465388,277.93577981651373,222.53127606338612
0023517AR,1,63.31943286071726,107.1559633027523,365.0,301.68056713928274
0023523AR,4,46.27189324437031,95.89241034195163,320.8590492076731,274.5871559633028
0023529AR,1,58.14428690575479,103.50291909924937,289.1993327773144,231.0550458715596
0023540AR,4,58.14428690575479,90.71726438698916,327.55629691409507,269.4120100083403
0023550AR,1,44.14095079232694,112.93994995829857,292.8523769808173,248.71142618849038
0023558AR,1,88.58632193494579,332.4270225187656,365.0,276.4136780650542
0023569AR,1,35.31276063386155,102.89407839866554,298.9407839866555,263.62802335279395
