codi,LST_zone,SOS,POS,EOS,GSL
0019859AR,1,69.4097048524262,116.23811905952975,272.27113556778386,202.86143071535764
0019869AR,1,65.70785392696347,126.048024012006,265.97798899449725,200.27013506753377
0019872AR,1,65.89294647323662,134.00700350175086,275.23261630815404,209.3396698349174
0019887AR,1,68.29914957478738,104.76238119059528,328.5392696348174,260.24012006003
0019894AR,1,72.00100050025011,109.3896948474237,275.23261630815404,203.23161580790392
0019899AR,1,65.3376688344172,110.8704352176088,297.8139069534767,232.4762381190595
0019905AR,1,84.40220110055026,312.2511255627814,370.0,285.59779889944974
0019928AR,1,65.15257628814408,132.52626313156577,292.44622311155575,227.29364682341168
0019929AR,1,66.26313156578288,131.97098549274637,264.49724862431214,198.23411705852925
0019969AR,1,74.40720360180089,107.35367683841919,340.57028514257127,266.16308154077035
0019974AR,1,69.59479739869934,109.57478739369684,308.17908954477235,238.584292146073
0019990AR,1,50.90045022511255,127.15857928964482,269.3096548274137,218.40920460230114
0019993AR,1,66.07803901950975,112.72136068034017,303.73686843421706,237.65882941470733
0020013AR,1,58.67433716858429,123.45672836418208,271.9009504752376,213.22661330665332
0020014AR,1,70.70535267633817,145.11255627813907,240.80540270135063,170.10005002501248
0020018AR,1,67.92896448224111,108.64932466233115,370.0,302.0710355177589
0020023AR,1,70.52026013006503,98.2841420710355,298.18409204602295,227.66383191595793
0020035AR,1,68.66933466733366,109.57478739369684,274.3071535767884,205.63781890945472
0020037AR,1,65.89294647323662,101.8009004502251,304.4772386193096,238.58429214607298
0020046AR,1,70.33516758379189,122.16108054027013,255.42771385692845,185.09254627313658
0020057AR,1,0.0,232.8464232116058,265.60780390195094,265.60780390195094
0020070AR,1,73.85192596298148,134.00700350175086,348.8994497248624,275.04752376188094
0020097AR,1,67.18859429714857,117.16358179089544,250.80040020010006,183.6118059029515
0020098AR,1,61.2656328164082,186.20310155077536,312.8064032016008,251.54077038519262
0020099AR,1,81.44072036018008,300.96048024012003,370.0,288.5592796398199
0020109AR,1,68.11405702851425,101.24562281140568,271.9009504752376,203.78689344672335
0020111AR,1,67.74387193596799,106.98349174587293,257.8339169584792,190.09004502251122
0020132AR,1,57.74887443721861,139.55977988994496,272.6413206603301,214.8924462231115
0020137AR,1,51.640820410205095,109.3896948474237,370.0,318.3591795897949
0020142AR,1,64.59729864932466,123.27163581790894,268.0140070035017,203.41670835417705
0020146AR,1,65.3376688344172,136.2281140570285,318.72936468234116,253.39169584792396
0020156AR,1,70.8904452226113,117.71885942971484,270.97548774387195,200.08504252126065
0020158AR,1,62.93146573286643,128.82441220610306,233.95697848924462,171.0255127563782
0020162AR,1,66.26313156578288,121.79089544772384,280.0450225112556,213.7818909454727
0020174AR,1,70.52026013006503,120.12506253126561,261.1655827913957,190.64532266133068
0020178AR,1,70.52026013006503,106.98349174587293,262.09104552276136,191.57078539269634
0020181AR,1,67.00350175087543,106.7983991995998,328.5392696348174,261.53576788394196
0020187AR,1,70.70535267633817,183.24162081040518,302.99649824912456,232.29114557278638
0020190AR,1,0.0,232.4762381190595,264.6823411705853,264.6823411705853
0020204AR,1,68.66933466733366,101.98599299649824,311.3256628314157,242.65632816408203
0020210AR,1,67.18859429714857,112.16608304152075,297.2586293146573,230.07003501750873
0020211AR,1,69.22461230615308,160.84542271135567,236.9184592296148,167.6938469234617
0020212AR,1,72.9264632316158,106.7983991995998,273.93696848424213,201.01050525262633
0020213AR,1,67.55877938969483,108.27913956978489,274.8624312156078,207.30365182591294
0020220AR,1,69.03951975987994,116.79339669834917,277.6388194097048,208.59929964982487
0020230AR,1,69.03951975987994,114.20210105052526,250.61530765382687,181.57578789394694
0020241AR,1,71.63081540770385,108.27913956978489,240.6203101550775,168.98949474737367
0020257AR,1,69.4097048524262,115.31265632816408,270.05002501250624,200.64032016008002
0020271AR,1,71.26063031515757,109.57478739369684,285.41270635317653,214.15207603801895
0020275AR,1,28.874437218609305,134.192096048024,370.0,341.12556278139067
0020281AR,1,67.92896448224111,117.16358179089544,283.93196598299147,216.00300150075037
0020308AR,1,67.18859429714857,111.42571285642819,269.8649324662331,202.67633816908452
0020314AR,1,65.89294647323662,116.4232116058029,269.8649324662331,203.97198599299645
0020319AR,1,69.96498249124562,108.09404702351175,311.695847923962,241.73086543271637
0020337AR,1,67.55877938969483,117.71885942971484,311.8809404702351,244.32216108054024
0020341AR,1,70.52026013006503,103.28164082041019,284.67233616808403,214.152076038019
0020352AR,1,73.85192596298148,111.79589794897448,320.7653826913456,246.91345672836414
0020355AR,1,69.22461230615308,122.16108054027013,271.71585792896445,202.4912456228114
0020380AR,1,72.18609304652325,121.23561780890444,265.2376188094047,193.05152576288145
0020386AR,1,63.3016508254127,137.1535767883942,301.33066533266634,238.02901450725363
0020391AR,1,69.96498249124562,105.68784392196098,350.75037518759376,280.78539269634814
0020392AR,1,71.81590795397699,96.43321660830415,303.55177588794396,231.73586793396697
0020398AR,1,68.8544272136068,121.975987993997,255.61280640320157,186.7583791895948
